,industrial_risk; management_risk; financial_flexibility; credibility; competitiveness; operating_risk; class,Unnamed: 1
0,0.5;1;0;0;0;0.5;bankruptcy,
1,0;1;0;0;0;1;bankruptcy,
2,1;0;0;0;0;1;bankruptcy,
3,0.5;0;0;0.5;0;1;bankruptcy,
4,1;1;0;0;0;1;bankruptcy,
5,1;1;0;0.5;0;0.5;bankruptcy,
6,1;1;0;0;0;0;bankruptcy,
7,1;1;0;0;0;0.5;bankruptcy,
8,1;1;0;0.5;0;0;bankruptcy,
9,1;1;0;0.5;0;1;bankruptcy,
10,1;1;0.5;0;0;1;bankruptcy,
11,0;1;0;0;0;1;bankruptcy,
12,0.5;1;0;0;0;1;bankruptcy,
13,1;1;0;0;0;1;bankruptcy,
14,0;1;0;0;0.5;0.5;bankruptcy,
15,0.5;1;0;0;0;0.5;bankruptcy,
16,0.5;1;0;0;0;0.5;bankruptcy,
17,0.5;0.5;0;0;0;0;bankruptcy,
18,0.5;1;0;0;0;1;bankruptcy,
19,0;0.5;0;0;0;0.5;bankruptcy,
20,0;1;0;0;0;0;bankruptcy,
21,0;0.5;0;0;0;1;bankruptcy,
22,0;1;0;0;0;1;bankruptcy,
23,1;0.5;0;0;0;0;bankruptcy,
24,1;1;0;0;0;0.5;bankruptcy,
25,0.5;0.5;0;0;0;1;bankruptcy,
26,0.5;0.5;0;0;0;1;bankruptcy,
27,0;0;0;0;0;1;bankruptcy,
28,0.5;0;0;0;0;1;bankruptcy,
29,0;0.5;0;0;0;1;bankruptcy,
30,0.5;1;0;0;0;1;bankruptcy,
31,1;1;0;0;0;1;bankruptcy,
32,1;0.5;0;0;0;1;bankruptcy,
33,0;1;0;0;0;1;bankruptcy,
34,1;0;0;0;0;1;bankruptcy,
35,0.5;0;0;0.5;0;1;bankruptcy,
36,1;1;0;1;0;0;bankruptcy,
37,1;1;0;0;0;1;bankruptcy,
38,1;1;0;0.5;0;0.5;bankruptcy,
39,1;1;0;1;0;1;bankruptcy,
40,1;1;0;0;0;0;bankruptcy,
41,1;1;0;0;0;0.5;bankruptcy,
42,1;1;0;0.5;0;0;bankruptcy,
43,1;1;0;0.5;0;1;bankruptcy,
44,1;1;0.5;0;0;1;bankruptcy,
45,0;1;0;0;0;1;bankruptcy,
46,0.5;1;0;0;0;1;bankruptcy,
47,1;1;0;0;0;1;bankruptcy,
48,0;1;0;0;0.5;0.5;bankruptcy,
49,0;1;0;0;0.5;0.5;bankruptcy,
50,0.5;1;0;0;0;0.5;bankruptcy,
51,1;1;0;0;0;0.5;bankruptcy,
52,1;0;0;0;0;1;bankruptcy,
53,0.5;0;0;0.5;0;1;bankruptcy,
54,1;1;0;0;0;1;bankruptcy,
55,1;1;0;0.5;0;0.5;bankruptcy,
56,1;1;0;1;0;1;bankruptcy,
57,1;1;0;0;0;0;bankruptcy,
58,1;1;0;0;0;0.5;bankruptcy,
59,1;1;0;0.5;0;0;bankruptcy,
60,0;1;0;0;0;0;bankruptcy,
61,0;0.5;0;0;0;1;bankruptcy,
62,0;1;0;0;0;1;bankruptcy,
63,1;0.5;0;0;0;0;bankruptcy,
64,1;1;0;0;0;0.5;bankruptcy,
65,0.5;0.5;0;0;0;1;bankruptcy,
66,0.5;0.5;0;0;0;1;bankruptcy,
67,1;1;0;0.5;0;1;bankruptcy,
68,1;1;0.5;0;0;1;bankruptcy,
69,0;1;0;0;0;1;bankruptcy,
70,0.5;1;0;0;0;1;bankruptcy,
71,1;1;0;0;0;1;bankruptcy,
